Colour_1_Hex,Colour_1_Name,Colour_2_Hex,Colour_2_Name,Style_Category,Description
#ffffff,White,#000000,Black,Classic,White and black — timeless sharp contrast
#ffffff,White,#ff0000,Red,Sporty,White and red — clean and energetic
#ffffff,White,#0000ff,Blue,Nautical,White and blue — crisp and fresh
#ffffff,White,#000080,Navy,Classic,White and navy — crisp nautical pairing
#ffffff,White,#808080,Grey,Minimal,White and grey — clean minimalist look
#ffffff,White,#ffc0cb,Pink,Soft,White and pink — fresh and feminine
#ffffff,White,#800080,Purple,Fresh,White and purple — bright and elegant
#ffffff,White,#ffa500,Orange,Summer,White and orange — vibrant warm weather look
#ffffff,White,#a52a2a,Brown,Casual,White and brown — relaxed and natural
#ffffff,White,#00ff00,Green,Fresh,White and green — natural and fresh
#ffffff,White,#6b6b2a,Olive,Casual,White and olive — relaxed natural pairing
#ffffff,White,#ffff00,Yellow,Soft,White and yellow — sunny and warm
#808080,Grey,#000000,Black,Monochrome,Grey and black — sleek tonal layering
#808080,Grey,#000080,Navy,Smart,Grey and navy — polished professional look
#808080,Grey,#0000ff,Blue,Smart,Grey and blue — office-ready pairing
#808080,Grey,#ff0000,Red,Contrast,Grey and red — muted base with a pop of colour
#808080,Grey,#ffc0cb,Pink,Soft,Grey and pink — subtle and stylish
#808080,Grey,#800080,Purple,Cool,Grey and purple — cool-toned sophisticated look
#808080,Grey,#ffa500,Orange,Warm,Grey and orange — balanced warm contrast
#808080,Grey,#a52a2a,Brown,Neutral,Grey and brown — warm and cool neutrals
#808080,Grey,#6b6b2a,Olive,Neutral,Grey and olive — muted tonal pairing
#000000,Black,#ff0000,Red,Bold,Black and red — powerful and striking
#000000,Black,#0000ff,Blue,Smart Casual,Black and blue — versatile everyday pairing
#000000,Black,#800080,Purple,Elegant,Black and purple — rich and sophisticated
#000000,Black,#000080,Navy,Tonal,Black and navy — deep tonal layering
#000000,Black,#6b6b2a,Olive,Urban,Black and olive — military-inspired street style
#000080,Navy,#ff0000,Red,Bold,Navy and red — classic nautical contrast
#000080,Navy,#a52a2a,Brown,Casual,Navy and brown — relaxed smart casual
#000080,Navy,#00ff00,Green,Cool,Navy and green — cool tonal contrast
#000080,Navy,#800080,Purple,Rich,Navy and purple — deep tonal sophistication
#000080,Navy,#6b6b2a,Olive,Military,Navy and olive — classic military-inspired combo
#0000ff,Blue,#ffa500,Orange,Complementary,Blue and orange — complementary colour pairing
#0000ff,Blue,#a52a2a,Brown,Casual,Blue and brown — classic denim-inspired pairing
#0000ff,Blue,#800080,Purple,Rich,Blue and purple — deep analogous pairing
#0000ff,Blue,#ffc0cb,Pink,Playful,Blue and pink — fun and vibrant
#ff0000,Red,#a52a2a,Brown,Earthy,Red and brown — warm autumnal tones
#a52a2a,Brown,#ffa500,Orange,Warm,Brown and orange — rich earthy palette
#a52a2a,Brown,#00ff00,Green,Nature,Brown and green — earthy natural tones
#a52a2a,Brown,#ffc0cb,Pink,Warm,Brown and pink — warm and soft pairing
#a52a2a,Brown,#800080,Purple,Autumn,Brown and purple — deep autumnal richness
#a52a2a,Brown,#6b6b2a,Olive,Earthy,Brown and olive — warm earthy natural tones
#800080,Purple,#ffc0cb,Pink,Romantic,Purple and pink — analogous feminine pairing
#ffc0cb,Pink,#000080,Navy,Preppy,Pink and navy — classic preppy pairing
#ffa500,Orange,#000080,Navy,Contrast,Orange and navy — warm-cool complementary contrast
#ffa500,Orange,#6b6b2a,Olive,Earthy,Orange and olive — warm autumnal palette
#00ff00,Green,#6b6b2a,Olive,Tonal,Green and olive — tonal earthy layering
#6b6b2a,Olive,#0000ff,Blue,Casual,Olive and blue — relaxed everyday pairing
#6b6b2a,Olive,#800080,Purple,Rich,Olive and purple — earthy base with rich depth
